node_id,browse_name,category,member_lines,reference_lines
i=291,NumericRange,Base Info Base Types,0,0
i=12755,OptionSet,Base Info OptionSet DataType,0,0
i=11487,OptionSetType,Base Info OptionSet,18,36
i=23518,OrderedListType,Base Info OrderedList,29,72
i=35,Organizes,Base Info Base Types,0,0
i=18811,Orientation,Base Info Spatial Data,0,0
i=18779,OrientationType,Base Info Spatial Data,9,27
i=24033,ProgramDiagnostic2DataType,Program Basic,0,0
i=15383,ProgramDiagnostic2Type,Program Basic,108,36
i=2391,ProgramStateMachineType,Program Basic,651,146
i=2378,ProgramTransitionEventType,Program Basic,9,27
i=68,PropertyType,Base Info Base Types,0,0
i=20,QualifiedName,Base Info Base Types,0,0
i=32438,QuantityDimension,Data Access Quantities Base,0,0
i=32475,QuantityType,Data Access Quantities Base,85,64
i=884,Range,Base Info Range DataType,0,0
i=18806,RationalNumber,Base Info Rational Number,0,0
i=17709,RationalNumberType,Base Info Rational Number,18,27
i=31,References,Base Info Base Types,0,0
i=25258,RepresentsSameEntityAs,Base Info RepresentsSameEntityAs,0,0
i=25260,RepresentsSameFunctionalityAs,Base Info RepresentsSameFunctionalityAs,0,0
i=25259,RepresentsSameHardwareAs,Base Info RepresentsSameHardwareAs,0,0
i=25256,Requires,Base Info Requires,0,0
i=2,SByte,Base Info Base Types,0,0
i=16309,SelectionListType,Base Info Selection List,27,36
i=24263,SemanticVersionString,Base Info SemanticVersionString,0,0
i=32447,ServerUnitType,Data Access Quantities Base,77,76
i=19746,SpanContextDataType,LogObject TraceContext,0,0
i=2299,StateMachineType,Base Info State Machine Instance,38,63
i=2307,StateType,Base Info Finite State Machine Instance,9,27
i=2755,StateVariableType,Base Info State Machine Instance,36,36
i=19,StatusCode,Base Info Base Types,0,0
i=12,String,Base Info Base Types,0,0
i=22,Structure,Base Info Base Types,0,0
i=99,StructureDefinition,Address Space DataTypeDefinition Attribute,0,0
i=101,StructureField,Address Space DataTypeDefinition Attribute,0,0
i=98,StructureType,Address Space DataTypeDefinition Attribute,27,9
i=19822,SubtypeRestrictionType,Base Info SubtypeRestriction,0,36
